"steer","accel","brake","gear","speedX","speedY","speedZ","wheelSpinVel","z","track","trackPos","angle","rpm","damage","distFromStart"
"0.0","0.9999436094777306","0.0","3","64.485","0.131422","0.620491","[59.1939, 58.9266, 60.006, 60.006]","0.29025","[4.61561, 9.6321, 15.6462, 51.7018, 200.0, 191.618, 172.541, 143.301, 127.839, 115.395, 105.167, 96.6113, 86.7426, 77.6874, 65.0002, 49.0771, 35.0083, 25.2208, 12.5348]","0.428477","-0.0623391","6214.11","0.0","8.86061"
"0.0","0.9999436094777306","0.0","3","65.0845","0.103679","0.635373","[59.7371, 59.498, 60.6684, 60.6684]","0.290444","[4.59037, 9.60019, 15.6356, 51.0641, 200.0, 192.026, 174.994, 144.922, 129.083, 116.372, 105.948, 97.2449, 87.2245, 78.0478, 65.218, 49.1618, 35.018, 25.2016, 12.55]","0.432276","-0.0609846","6282.41","0.0","9.22611"
"0.0","0.9999436094777306","0.0","3","65.7582","0.0813164","0.691252","[60.3337, 60.1357, 61.335, 61.335]","0.290884","[4.56396, 9.57124, 15.6433, 50.632, 200.0, 192.324, 176.74, 146.435, 130.232, 117.265, 106.654, 97.8114, 87.6485, 78.3582, 65.3967, 49.2201, 35.011, 25.1716, 12.5637]","0.436373","-0.0593137","6351.2","0.0","9.63223"
"0.0","0.9999436094777306","0.0","3","66.4418","0.062832","0.736124","[60.9372, 60.7681, 61.9928, 61.9928]","0.291594","[4.53902, 9.5487, 15.671, 50.4267, 200.0, 192.489, 177.792, 147.688, 131.171, 117.985, 107.216, 98.2546, 87.9722, 78.5875, 65.5181, 49.2454, 34.9872, 25.1332, 12.5745]","0.440374","-0.0574737","6419.4","0.0","10.0426"
"0.0","0.9999436094777306","0.0","3","67.1327","0.0467342","0.768479","[61.5479, 61.4075, 62.675, 62.675]","0.292496","[4.51558, 9.53264, 15.7194, 50.4282, 200.0, 192.534, 178.434, 148.667, 131.891, 118.526, 107.628, 98.5715, 88.1938, 78.7348, 65.5817, 49.2379, 34.9469, 25.0863, 12.5823]","0.444267","-0.0554663","6490.08","0.0","10.4575"
"0.0","0.9999436094777306","0.0","3","67.8318","0.034997","0.788241","[62.1678, 62.0508, 63.3758, 63.3758]","0.29288","[4.49362, 9.52266, 15.7877, 50.595, 200.0, 192.479, 178.804, 149.404, 132.418, 118.909, 107.908, 98.7778, 88.3259, 78.8102, 65.5953, 49.2018, 34.8923, 25.0322, 12.5873]","0.448046","-0.0533118","6562.72","0.0","10.8767"
"0.0","0.9999436094777306","0.0","3","68.5384","0.0276931","0.795777","[62.7993, 62.6975, 64.0959, 64.0959]","0.292101","[4.47307, 9.51806, 15.8742, 50.8707, 200.0, 192.355, 179.008, 149.973, 132.812, 119.183, 108.099, 98.9076, 88.3965, 78.8361, 65.5743, 49.146, 34.8276, 24.973, 12.5899]","0.451701","-0.0510485","6637.37","0.0","11.3005"
"0.0","0.9999436094777306","0.0","3","69.2524","0.0194158","0.793931","[63.4388, 63.3531, 64.8519, 64.8519]","0.291276","[4.45402, 9.51905, 15.9796, 51.2471, 200.0, 192.169, 179.074, 150.379, 133.076, 119.352, 108.202, 98.9642, 88.4081, 78.8149, 65.52, 49.0712, 34.7533, 24.9089, 12.5901]","0.455221","-0.0486814","6715.78","0.0","11.7287"
"0.0","0.9999436094777306","0.0","3","69.979","0.0139985","0.79358","[64.0895, 64.0169, 65.5615, 65.5615]","0.290364","[4.43645, 9.5254, 16.1043, 51.7063, 200.0, 191.931, 179.035, 150.645, 133.229, 119.431, 108.23, 98.9574, 88.3688, 78.7529, 65.4373, 48.9802, 34.6708, 24.8405, 12.5882]","0.4586","-0.0462212","6786.94","0.0","12.1616"
"0.0","0.9999436094777306","0.0","3","70.7427","0.00988769","0.861517","[64.7806, 64.7194, 65.7449, 65.7449]","0.289623","[4.42033, 9.5368, 16.2476, 52.2177, 200.0, 191.657, 178.927, 150.82, 133.31, 119.451, 108.21, 98.9096, 88.2966, 78.6643, 65.3359, 48.8786, 34.5825, 24.7692, 12.5842]","0.461835","-0.0436905","6806.97","0.0","12.5992"
